europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
south-asia.city-gaur | Gaur | South Asia | s=-400 e=1575 ext=None b=[-425, -375] | typological | h=None ds=None | Bengal Sultanate capital and one of the largest cities of 15th-century Asia, abandoned to plague. | al=Lakhnauti,Lakshmanavati,Gauda,Malda district
south-asia.city-gulbarga | Gulbarga | South Asia | s=1347 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | First capital of the Bahmani Sultanate, the first independent Deccan Muslim state. | al=Kalaburagi,Ahsanabad
south-asia.city-gwalior | Gwalior | South Asia | s=500 e=None ext=True b=[470, 530] | typological | h=None ds=None | Hill-fortress city of the Tomaras, centre of Hindustani music and Jain rock sculpture. | al=Gopachala,Gwalior fort
south-asia.city-jaisalmer | Jaisalmer | South Asia | s=1156 e=None ext=True b=[None, None] | calendar | h=None ds=None | Thar desert caravan city on the route between Delhi and Sindh. | al=Jaisalmer fort,Jaisalmer Golden City
south-asia.city-jaunpur | Jaunpur | South Asia | s=1359 e=None ext=True b=[None, None] | calendar | h=None ds=None | Sharqi Sultanate capital, called the Shiraz of India for its scholarship and architecture. | al=Jaunpur Shiraz-i Hind
south-asia.city-kalibangan | Kalibangan | South Asia | s=-3500 e=-1750 ext=None b=[-3570, -3430] | typological | h=None ds=None | Indus city with the earliest ploughed field ever found and fire altars in its citadel. | al=Kali Banga,Hanumangarh
south-asia.city-kalinjar | Kalinjar | South Asia | s=500 e=1600 ext=None b=[425, 575] | typological | h=None ds=None | Chandela hill fortress-city that repelled Mahmud of Ghazni and the Delhi sultans. | al=Kalanjara,Kalinjar fort,Banda district
south-asia.city-kalyan | Kalyan | South Asia | s=-200 e=None ext=True b=[-250, -150] | typological | h=None ds=None | Konkan trading port named by Cosmas Indicopleustes as a market for Persian shipping. | al=Kalliena,Kalyana,Thane district
south-asia.city-kalyani | Kalyani | South Asia | s=1050 e=1200 ext=None b=[None, None] | calendar | h=None ds=None | Western Chalukya capital and birthplace of the Virashaiva Lingayat movement. | al=Basavakalyan,Kalyana,Bidar district
south-asia.city-kanchipuram | Kanchipuram | South Asia | s=-300 e=None ext=True b=[-310, -290] | typological | h=None ds=None | Pallava capital, city of a thousand temples and of Tamil Sanskritic learning. | al=Kanchi,Conjeeveram
south-asia.city-kannauj | Kannauj | South Asia | s=-300 e=None ext=True b=[-310, -290] | typological | h=None ds=None | Harsha's imperial capital and the prize contested in the tripartite struggle of three empires. | al=Kanyakubja,Mahodaya
south-asia.city-kannur | Kannur | South Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Kolathiri capital and Arab-linked port of the Ali Rajas of the Laccadive trade. | al=Cannanore,Kolathunadu
south-asia.city-kapilavastu | Kapilavastu | South Asia | s=-700 e=400 ext=None b=[-742, -658] | typological | h=None ds=None | Shakya capital and the Buddha's childhood city. | al=Tilaurakot,Piprahwa
south-asia.city-karur | Karur | South Asia | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Chera capital of the sangam age with Roman coin finds and bead industry. | al=Vanji,Karuvur
south-asia.city-kathmandu | Kathmandu | South Asia | s=723 e=None ext=True b=[680, 766] | typological | h=None ds=None | Malla capital, Himalayan trade entrepot on the Tibet-India route. | al=Kantipur,Yen
south-asia.city-kaushambi | Kaushambi | South Asia | s=-1000 e=600 ext=None b=[-1060, -940] | typological | h=None ds=None | Capital of the Vatsa kingdom with massive mud ramparts; a major early Buddhist centre. | al=Kausambi,Kosam,Kaushambi district
south-asia.city-kaveripattinam | Kaveripattinam | South Asia | s=-300 e=500 ext=None b=[-325, -275] | typological | h=None ds=None | Great early Chola port of Tamil epic, lost partly to the sea. | al=Poompuhar,Puhar,Khaberis,Mayiladuthurai
south-asia.city-khajuraho | Khajuraho | South Asia | s=900 e=1300 ext=None b=[882, 918] | typological | h=None ds=None | Chandela capital whose temple complex is the summit of north Indian sculpture. | al=Kharjuravahaka,Chhatarpur
south-asia.city-khambhat | Cambay | South Asia | s=900 e=1600 ext=None b=[846, 954] | typological | h=None ds=None | Premier port of Gujarat and of Indian Ocean textile export before silting closed its gulf. | al=Khambhat,Stambhatirtha
south-asia.city-kochi | Kochi | South Asia | s=1341 e=None ext=True b=[None, None] | calendar | h=None ds=None | Harbour created by the 1341 Periyar flood that displaced Kodungallur as Malabar's chief port. | al=Cochin,Perumpadappu,Kochchi
south-asia.city-kodumanal | Kodumanal | South Asia | s=-400 e=100 ext=None b=[-460, -340] | typological | h=None ds=None | Industrial gem-cutting and iron-smelting town with the earliest Tamil-Brahmi graffiti. | al=Kodumanam,Erode district
south-asia.city-kolhapur | Kolhapur | South Asia | s=-200 e=None ext=True b=[-250, -150] | typological | h=None ds=None | Satavahana-era bronze-working town and later Shilahara capital and Shakta pilgrimage seat. | al=Brahmapuri,Kollapura
south-asia.city-kollam | Kollam | South Asia | s=825 e=None ext=True b=[776, 874] | typological | h=None ds=None | Malabar pepper port with a Chinese and Arab trading presence and an early Latin bishopric. | al=Quilon,Desinganadu,Kaulam
south-asia.city-konark | Konark | South Asia | s=1250 e=1600 ext=None b=[None, None] | calendar | h=None ds=None | Sun temple built as a colossal stone chariot; a monument and port shrine, not a city. | al=Konarak,Black Pagoda,Puri district
south-asia.city-kotdiji | Kot Diji | South Asia | s=-3300 e=-1900 ext=None b=[-3498, -3102] | typological | h=None ds=None | Type site of the pre-Harappan phase, showing fortified towns before the mature Indus cities. | al=Kotdiji,Khairpur
south-asia.city-kotte | Kotte | South Asia | s=1370 e=None ext=True b=[None, None] | calendar | h=None ds=None | Fortified late-medieval Sinhalese capital that dealt first with Portuguese arrival. | al=Jayawardenapura,Sri Jayawardenapura,Sri Jayawardenepura Kotte
south-asia.city-kozhikode | Kozhikode | South Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Zamorin's capital and the greatest Malabar spice port, where Vasco da Gama landed in 1498. | al=Calicut,Kolikkodu
south-asia.city-kumbakonam | Kumbakonam | South Asia | s=600 e=None ext=True b=[510, 690] | typological | h=None ds=None | Chola-era temple and later brass-working city of the Kaveri delta. | al=Kudanthai,Thanjavur district
south-asia.city-kurunegala | Kurunegala | South Asia | s=1293 e=1341 ext=None b=[None, None] | calendar | h=None ds=None | Brief Sinhalese royal capital beneath the Elephant Rock. | al=Hastisailapura
south-asia.city-kushinagar | Kushinagar | South Asia | s=-600 e=1200 ext=None b=[-636, -564] | typological | h=None ds=None | Malla town where the Buddha died and was cremated; enduring pilgrimage centre. | al=Kusinara,Kasia
south-asia.city-lahore | Lahore | South Asia | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Ghaznavid eastern capital and later Punjab's paramount city. | al=Lohawar,Lavapuri
south-asia.city-lomanthang | Lo Manthang | South Asia | s=1380 e=None ext=True b=[None, None] | calendar | h=None ds=None | Walled Tibetan-Buddhist capital of the kingdom of Lo on the Kali Gandaki salt route. | al=Mustang,Monthang,Upper Mustang
south-asia.city-lumbini | Lumbini | South Asia | s=-600 e=1400 ext=None b=[-636, -564] | typological | h=None ds=None | Birthplace of the Buddha, marked by Ashoka's pillar; pilgrimage settlement rather than city. | al=Rummindei,Rupandehi
south-asia.city-madurai | Madurai | South Asia | s=-400 e=None ext=True b=[-410, -390] | typological | h=None ds=None | Ancient Pandya capital and seat of the Tamil sangam academies; a temple-centred grid city. | al=Mathurai,Toundis
south-asia.city-mahabalipuram | Mahabalipuram | South Asia | s=600 e=None ext=True b=[588, 612] | typological | h=None ds=None | Pallava port and rock-cut sculptural workshop that exported Indian art to Southeast Asia. | al=Mamallapuram,Seven Pagodas,Chengalpattu
south-asia.city-mahasthangarh | Mahasthangarh | South Asia | s=-300 e=1300 ext=None b=[-325, -275] | typological | h=None ds=None | Oldest known city in Bengal, capital of the Pundra region for over a millennium. | al=Pundranagara,Pundravardhana,Bogra
south-asia.city-mahodayapuram | Mahodayapuram | South Asia | s=800 e=1341 ext=None b=[752, 848] | typological | h=None ds=None | Capital of the Chera Perumals of Kerala, with early Jewish, Christian and Muslim communities. | al=Kodungallur,Cranganore,Makotai
south-asia.city-mandu | Mandu | South Asia | s=1300 e=1600 ext=None b=[None, None] | calendar | h=None ds=None | Malwa Sultanate hilltop capital with vast walls and Afghan-style stone architecture. | al=Mandavgad,Shadiabad,Dhar district
south-asia.city-mansura | Mansura | South Asia | s=730 e=1300 ext=None b=[687, 773] | typological | h=None ds=None | Arab capital of Sindh, first great Islamic city of South Asia, abandoned after river shifts. | al=Al-Mansurah,Brahmanabad,Sanghar district
south-asia.city-mantai | Mantai | South Asia | s=-200 e=1100 ext=None b=[-225, -175] | typological | h=None ds=None | Principal port of Anuradhapura, a Roman-to-Chinese trade emporium in the Palk Strait. | al=Mahatittha,Mannar,Mantota
south-asia.city-manyakheta | Manyakheta | South Asia | s=815 e=1050 ext=None b=[767, 863] | typological | h=None ds=None | Rashtrakuta imperial capital, described by Arab geographers as a rival of Baghdad. | al=Malkhed,Manyakheta Rashtrakuta,Kalaburagi district
south-asia.city-mathura | Mathura | South Asia | s=-600 e=None ext=True b=[-612, -588] | typological | h=None ds=None | Kushan southern capital, birthplace of Krishna and of the first Buddha images in stone. | al=Madhura,Muttra
south-asia.city-multan | Multan | South Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Ancient sun-temple city and later the Islamic gateway to Sindh; a Sufi shrine capital. | al=Mulasthana,Malli
south-asia.city-muziris | Muziris | South Asia | s=-300 e=500 ext=None b=[-310, -290] | typological | h=None ds=None | Chief pepper port of Roman-era India named in the Periplus and Tamil sangam poems. | al=Muchiri,Pattanam,Muyirikkode,Kodungallur/Pattanam
south-asia.city-nagapattinam | Nagapattinam | South Asia | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Chola port to Southeast Asia, site of the Srivijayan-funded Chudamani Buddhist monastery. | al=Nagapattanam,Negapatam
south-asia.city-nagarjunakonda | Nagarjunakonda | South Asia | s=200 e=400 ext=None b=[175, 225] | typological | h=None ds=None | Ikshvaku capital and Buddhist university city, now largely submerged by a reservoir. | al=Vijayapuri,Nagarjunikonda,Nalgonda
south-asia.city-nalanda | Nalanda | South Asia | s=427 e=1200 ext=None b=[417, 437] | typological | h=None ds=None | The world's greatest Buddhist monastic university, destroyed c. 1200. | al=Nalendra,Nalanda Mahavihara,Nalanda district
south-asia.city-nausharo | Nausharo | South Asia | s=-2800 e=-2000 ext=None b=[-2968, -2632] | typological | h=None ds=None | Transitional site linking Mehrgarh's farming villages to mature Harappan urbanism. | al=Naushahro,Kachhi
south-asia.city-paithan | Paithan | South Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Satavahana capital and terminus of the Deccan trade road to Barygaza. | al=Pratishthana,Baithana,Aurangabad district
south-asia.city-pandua | Pandua | South Asia | s=1340 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Alternate Bengal Sultanate capital with the vast Adina mosque. | al=Hazrat Pandua,Firuzabad,Malda district
south-asia.city-pataliputra | Pataliputra | South Asia | s=-490 e=None ext=True b=[-500, -480] | typological | h=None ds=None | Capital of Magadha, the Maurya and Gupta empires; the greatest city of ancient India. | al=Patna,Palibothra,Kusumapura
south-asia.city-patan-lalitpur | Lalitpur | South Asia | s=300 e=None ext=True b=[250, 350] | typological | h=None ds=None | Malla royal city of Newar craftsmen and metal casters in the Kathmandu valley. | al=Patan,Yala,Manigal
south-asia.city-pattadakal | Pattadakal | South Asia | s=700 e=1000 ext=None b=[658, 742] | typological | h=None ds=None | Chalukya coronation city and showcase of northern and southern temple styles side by side. | al=Pattadakallu,Raktapura,Bagalkot
south-asia.city-polonnaruwa | Polonnaruwa | South Asia | s=1017 e=1300 ext=None b=[None, None] | calendar | h=None ds=None | Second Sinhalese capital, apogee of Parakramabahu I's irrigation and monumental building. | al=Pulatthinagara,Topawewa
south-asia.city-puri | Puri | South Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Jagannath pilgrimage capital and one of Hinduism's four cardinal holy cities. | al=Purushottama Kshetra,Jagannatha Puri
south-asia.city-purushapura | Purushapura | South Asia | s=-500 e=None ext=True b=[-510, -490] | typological | h=None ds=None | Kushan capital of Kanishka with a colossal stupa; gateway between India and Central Asia. | al=Peshawar,Purusapura
south-asia.city-pushkalavati | Pushkalavati | South Asia | s=-1400 e=200 ext=None b=[-1484, -1316] | typological | h=None ds=None | Original Gandharan capital, besieged by Alexander, later eclipsed by Peshawar. | al=Charsadda,Peukelaotis
south-asia.city-rajgir | Rajgir | South Asia | s=-700 e=None ext=True b=[-714, -686] | typological | h=None ds=None | First Magadhan capital, cyclopean-walled, where the first Buddhist council met. | al=Rajagriha,Rajagaha,Girivraja,Nalanda district
south-asia.city-ranthambore | Ranthambore | South Asia | s=944 e=1600 ext=None b=[803, 1085] | typological | h=None ds=None | Chauhan fortress city, the first great Rajput stronghold to fall to Delhi in 1301. | al=Ranthambhor,Ranastambhapura,Sawai Madhopur
south-asia.city-sanchi | Sanchi | South Asia | s=-300 e=1200 ext=None b=[-310, -290] | typological | h=None ds=None | Great Stupa complex preserving the oldest standing Buddhist monuments in India. | al=Kakanaya,Kakanadabota,Raisen
south-asia.city-sarnath | Sarnath | South Asia | s=-500 e=1200 ext=None b=[-530, -470] | typological | h=None ds=None | Site of the Buddha's first sermon and of Ashoka's lion capital, now India's state emblem. | al=Isipatana,Rishipattana,Varanasi
south-asia.city-sigiriya | Sigiriya | South Asia | s=477 e=600 ext=None b=[467, 487] | typological | h=None ds=None | Rock-summit palace-city of Kassapa I with mirror wall frescoes and water gardens. | al=Sinhagiri,Lion Rock,Matale district
south-asia.city-sirsukh-sialkot | Sialkot | South Asia | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Capital of the Indo-Greek king Menander and setting of the Milindapanha dialogues. | al=Sakala,Sagala
south-asia.city-sisupalgarh | Sisupalgarh | South Asia | s=-300 e=400 ext=None b=[-325, -275] | typological | h=None ds=None | Precisely planned fortified city of Kalinga, likely the Tosali of Ashoka's edicts. | al=Sisupalagada,Tosali,Bhubaneswar
south-asia.city-somapura | Somapura | South Asia | s=780 e=1200 ext=None b=[765, 795] | typological | h=None ds=None | Largest Buddhist monastery south of the Himalaya; a Pala monastic city. | al=Paharpur,Somapura Mahavihara,Naogaon
south-asia.city-somnath | Somnath | South Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Temple-port repeatedly sacked and rebuilt; the symbolic wealth of medieval Gujarat. | al=Prabhas Patan,Veraval,Gir Somnath
south-asia.city-sonargaon | Sonargaon | South Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of eastern Bengal and famed muslin-weaving centre visited by Ibn Battuta. | al=Suvarnagrama,Narayanganj
south-asia.city-sopara | Sopara | South Asia | s=-300 e=1300 ext=None b=[-350, -250] | typological | h=None ds=None | Konkan port and Buddhist centre trading with Mesopotamia and Rome. | al=Surparaka,Shurparaka,Nala Sopara,Vasai
south-asia.city-sravasti | Sravasti | South Asia | s=-600 e=1200 ext=None b=[-636, -564] | typological | h=None ds=None | Capital of Kosala where the Buddha spent most rainy seasons; a major Jain and Buddhist centre. | al=Savatthi,Saheth-Maheth,Gonda-Balrampur
south-asia.city-srirangam | Srirangam | South Asia | s=900 e=None ext=True b=[846, 954] | typological | h=None ds=None | Island temple city of Ranganatha, the largest functioning temple complex in the world. | al=Thiruvarangam,Tiruchirappalli
south-asia.city-surkotada | Surkotada | South Asia | s=-2300 e=-1700 ext=None b=[-2645, -1955] | typological | h=None ds=None | Fortified Indus outpost with the earliest claimed domestic horse remains in South Asia. | al=Surkotda,Kutch
south-asia.city-sutkagan-dor | Sutkagan Dor | South Asia | s=-2500 e=-1900 ext=None b=[-2650, -2350] | typological | h=None ds=None | Westernmost Indus city, a fortified station on the sea route to Mesopotamia. | al=Sutkagen-dor,Makran
south-asia.city-tamralipti | Tamralipti | South Asia | s=-300 e=1200 ext=None b=[-325, -275] | typological | h=None ds=None | Ganges-delta port from which pilgrims and Ashoka's missions sailed to Sri Lanka and China. | al=Tamluk,Tamralipta
south-asia.city-taxila | Taxila | South Asia | s=-800 e=500 ext=None b=[-816, -784] | typological | h=None ds=None | Gandharan crossroads city and great Buddhist university where Indic and Hellenistic worlds met. | al=Takshashila,Sirkap,Sirsukh,Rawalpindi district
south-asia.city-ter | Ter | South Asia | s=-200 e=1000 ext=None b=[-250, -150] | typological | h=None ds=None | Deccan trade town named in the Periplus as Tagara, exporter of cottons and ivory. | al=Tagara,Tagar,Osmanabad
south-asia.city-thanjavur | Thanjavur | South Asia | s=850 e=None ext=True b=[833, 867] | typological | h=None ds=None | Chola imperial capital and site of the Brihadisvara temple, apex of Tamil state power. | al=Tanjore,Tanjavur
south-asia.city-thatta | Thatta | South Asia | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Lower Indus capital of the Samma dynasty and a great textile and shipbuilding port. | al=Tatta,Thatto
south-asia.city-tissamaharama | Tissamaharama | South Asia | s=-300 e=1100 ext=None b=[-350, -250] | typological | h=None ds=None | Capital of the southern Sinhalese kingdom of Ruhuna and early Buddhist centre. | al=Mahagama,Magama,Hambantota
south-asia.city-tripuri | Tripuri | South Asia | s=-200 e=1300 ext=None b=[-250, -150] | typological | h=None ds=None | Kalachuri capital of the Chedi kingdom in the Narmada valley. | al=Tewar,Tripura,Jabalpur
south-asia.city-ujjain | Ujjain | South Asia | s=-700 e=None ext=True b=[-714, -686] | typological | h=None ds=None | Avanti's capital, Indian prime meridian, and Gupta-era literary and astronomical centre. | al=Ujjayini,Avanti,Ozene
south-asia.city-uraiyur | Uraiyur | South Asia | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Early Chola capital on the Kaveri, pearl and cotton centre of the sangam age. | al=Uraiyur Trichy,Uranthai,Tiruchirappalli
south-asia.city-vaishali | Vaishali | South Asia | s=-600 e=1200 ext=None b=[-636, -564] | typological | h=None ds=None | Capital of the Licchavi republic, often called the world's first republican city-state. | al=Vesali,Basarh,Vaishali district
south-asia.city-varanasi | Varanasi | South Asia | s=-1200 e=None ext=True b=[-1224, -1176] | typological | h=None ds=None | Perhaps the oldest continuously lived-in city in India and Hinduism's holiest. | al=Kashi,Banaras,Benares
south-asia.city-vengi | Vengi | South Asia | s=-200 e=1100 ext=None b=[-250, -150] | typological | h=None ds=None | Capital of the Eastern Chalukyas and earlier Salankayanas in coastal Andhra. | al=Vengipura,Pedavegi,Eluru district
south-asia.city-vidisha | Vidisha | South Asia | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Sunga-era trade city with the Heliodorus pillar, gateway to the Sanchi complex. | al=Besnagar,Vidisa
south-asia.city-vijayanagara | Vijayanagara | South Asia | s=1336 e=1565 ext=None b=[None, None] | calendar | h=None ds=None | Capital of the Vijayanagara empire, one of the largest cities in the world before its 1565 sack. | al=Hampi,Bisnagar
south-asia.city-vikrampura | Vikrampura | South Asia | s=1000 e=1400 ext=None b=[None, None] | calendar | h=None ds=None | Pala and Sena capital of eastern Bengal and birthplace of Atisha. | al=Bikrampur,Rampal,Munshiganj
south-asia.city-warangal | Warangal | South Asia | s=1163 e=None ext=True b=[None, None] | calendar | h=None ds=None | Kakatiya capital with concentric stone walls; centre of Telugu statecraft and tank irrigation. | al=Orugallu,Ekasila Nagaram
south-asia.city-wari-bateshwar | Wari-Bateshwar | South Asia | s=-450 e=-100 ext=None b=[-517, -383] | typological | h=None ds=None | Fortified early historic city with punch-marked coins and Roman-era trade goods. | al=Wari Bateshwar,Narsingdi
south-asia.city-yapahuwa | Yapahuwa | South Asia | s=1273 e=1300 ext=None b=[None, None] | calendar | h=None ds=None | Rock-citadel capital built to shelter the Tooth Relic from South Indian invasion. | al=Yapawwa,Sundaragiri,Kurunegala district
southeast-asia.city-angkor | Angkor | Southeast Asia | s=889 e=1431 ext=None b=[872, 906] | typological | h=None ds=None | Khmer imperial capital and the largest pre-industrial urban complex on earth. | al=Yasodharapura,Angkor Thom,Siem Reap
southeast-asia.city-angkor-borei | Angkor Borei | Southeast Asia | s=-400 e=None ext=True b=[-425, -375] | typological | h=None ds=None | Probable inland capital of Funan, the first state of mainland Southeast Asia. | al=Vyadhapura,Naravaranagara,Takeo
southeast-asia.city-ayutthaya | Ayutthaya | Southeast Asia | s=1351 e=1767 ext=None b=[None, None] | calendar | h=None ds=None | Siamese island capital and one of the great cosmopolitan trading cities of the world. | al=Ayudhya,Phra Nakhon Si Ayutthaya
southeast-asia.city-bagan | Bagan | Southeast Asia | s=849 e=None ext=True b=[833, 865] | typological | h=None ds=None | Burmese imperial capital with over two thousand surviving temples on the Irrawaddy plain. | al=Pagan,Arimaddanapura
southeast-asia.city-bago | Bago | Southeast Asia | s=825 e=None ext=True b=[776, 874] | typological | h=None ds=None | Mon capital of Hanthawaddy and the greatest port of 15th-century Burma. | al=Pegu,Hanthawaddy,Hamsavati
southeast-asia.city-banteay-chhmar | Banteay Chhmar | Southeast Asia | s=1180 e=1300 ext=None b=[None, None] | calendar | h=None ds=None | Great walled temple-city of Jayavarman VII on the northwest Khmer frontier. | al=Banteay Chmar,Banteay Meanchey
southeast-asia.city-barus | Barus | Southeast Asia | s=500 e=None ext=True b=[425, 575] | typological | h=None ds=None | Ancient camphor and benzoin port linking Sumatra with the Middle East and China. | al=Fansur,Panchur,Central Tapanuli
southeast-asia.city-beikthano | Beikthano | Southeast Asia | s=-200 e=500 ext=None b=[-225, -175] | typological | h=None ds=None | Earliest excavated Pyu walled city in Myanmar, with Indian-style brick monasteries. | al=Vishnu city,Beikthanomyo,Magway Region
southeast-asia.city-borobudur | Borobudur | Southeast Asia | s=780 e=1000 ext=None b=[765, 795] | typological | h=None ds=None | Largest Buddhist monument on earth, a stone mandala of the Sailendra dynasty. | al=Barabudur,Magelang
southeast-asia.city-butuan | Butuan | Southeast Asia | s=900 e=None ext=True b=[765, 1035] | typological | h=None ds=None | Balangay-building trading polity of northern Mindanao with early gold work and Song-era China links. | al=Mindanao
southeast-asia.city-cebu | Cebu | Southeast Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Visayan port polity and the first Spanish settlement in the Philippines. | al=Sugbu,Zubu,Cebu City
southeast-asia.city-cebu-sugbu | Sugbu | Southeast Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Visayan port polity and regional entrepôt where Magellan's expedition landed in 1521. | al=Cebu
southeast-asia.city-chiangmai | Chiang Mai | Southeast Asia | s=1296 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of the Lan Na kingdom and centre of northern Thai Buddhism and manuscript culture. | al=Chiengmai,Nopburi Si Nakhon Ping
southeast-asia.city-chiangsaen | Chiang Saen | Southeast Asia | s=1328 e=None ext=True b=[None, None] | calendar | h=None ds=None | Mekong city of the Lan Na and earlier Ngoenyang polity. | al=Chiangsaen,Yonok,Chiang Rai province
southeast-asia.city-coloa | Co Loa | Southeast Asia | s=-300 e=-179 ext=None b=[-325, -275] | typological | h=None ds=None | Spiral-walled capital of Au Lac, the earliest known city in Vietnam. | al=Kuu Lau,Kelou,Dong Anh
southeast-asia.city-demak | Demak | Southeast Asia | s=1400 e=None ext=True b=[None, None] | calendar | h=None ds=None | First Islamic sultanate on Java, whose armies ended Majapahit. | al=Bintara
southeast-asia.city-dhanyawadi | Dhanyawadi | Southeast Asia | s=-100 e=400 ext=None b=[-150, -50] | typological | h=None ds=None | Earliest Arakanese walled city, home of the Mahamuni Buddha image. | al=Dhanyavati,Rakhine State
southeast-asia.city-dieng | Dieng | Southeast Asia | s=700 e=900 ext=None b=[658, 742] | typological | h=None ds=None | Highland Shaiva temple complex, the oldest Hindu architecture on Java. | al=Dieng Plateau,Wonosobo
southeast-asia.city-gresik | Gresik | Southeast Asia | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Port town where Islam entered Java, seat of the Sunan Giri religious authority. | al=Grissee,Giri
southeast-asia.city-halin | Halin | Southeast Asia | s=-200 e=900 ext=None b=[-225, -175] | typological | h=None ds=None | Northernmost Pyu city, a salt-producing centre destroyed by Nanzhao raids. | al=Halingyi,Hanlin,Sagaing Region
southeast-asia.city-hanoi | Hanoi | Southeast Asia | s=-200 e=None ext=True b=[-210, -190] | typological | h=None ds=None | Vietnamese imperial capital from 1010 and the enduring political centre of the Red River delta. | al=Thang Long,Dai La,Dong Kinh,Tonkin
southeast-asia.city-hariharalaya | Hariharalaya | Southeast Asia | s=802 e=900 ext=None b=[754, 850] | typological | h=None ds=None | First capital of the Angkorian state founded by Jayavarman II. | al=Roluos,Rolous
southeast-asia.city-hoalu | Hoa Lu | Southeast Asia | s=968 e=1010 ext=None b=[949, 987] | typological | h=None ds=None | First capital of independent Vietnam, in a limestone karst amphitheatre. | al=Hoa-lu,Ninh Binh
southeast-asia.city-hue | Hue | Southeast Asia | s=1306 e=None ext=True b=[None, None] | calendar | h=None ds=None | Cham then Vietnamese frontier city that became the Nguyen imperial capital. | al=Phu Xuan,Thuan Hoa
southeast-asia.city-indrapura | Indrapura | Southeast Asia | s=875 e=1000 ext=None b=[823, 927] | typological | h=None ds=None | Cham capital and site of the largest Buddhist monastery of Champa. | al=Dong Duong,Dong Duong Champa,Thang Binh
southeast-asia.city-inwa | Inwa | Southeast Asia | s=1365 e=1841 ext=None b=[None, None] | calendar | h=None ds=None | Burmese capital for four centuries, giving Europeans the name Ava for Burma. | al=Ava,Ratanapura,Mandalay Region
southeast-asia.city-kauthara | Kauthara | Southeast Asia | s=700 e=None ext=True b=[595, 805] | typological | h=None ds=None | Cham port region and site of the Po Nagar temple to the goddess of the realm. | al=Nha Trang,Po Nagar
southeast-asia.city-kedah-bujang | Bujang Valley | Southeast Asia | s=-100 e=1400 ext=None b=[-125, -75] | typological | h=None ds=None | Oldest urban and iron-smelting complex in Malaysia and Kedah's Hindu-Buddhist port kingdom. | al=Kedah Tua,Sungai Batu,Kadaram,Kedah
southeast-asia.city-kediri | Kediri | Southeast Asia | s=1042 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of the Kediri kingdom and a golden age of Old Javanese literature. | al=Daha,Panjalu
southeast-asia.city-kohker | Koh Ker | Southeast Asia | s=928 e=944 ext=None b=[873, 983] | typological | h=None ds=None | Brief Khmer capital of Jayavarman IV with a seven-tier pyramid temple. | al=Chok Gargyar,Lingapura,Preah Vihear
southeast-asia.city-kota-batu-brunei | Kota Batu | Southeast Asia | s=1000 e=1600 ext=None b=[None, None] | calendar | h=None ds=None | Early Bruneian capital and China-trade port on Borneo's north coast, forerunner of the sultanate. | al=Po-ni,Brunei,Brunei Darussalam
southeast-asia.city-kutai-martapura | Martapura | Southeast Asia | s=350 e=1600 ext=None b=[298, 402] | typological | h=None ds=None | Seat of the oldest known Hindu kingdom in Indonesia, named on the Mulawarman inscriptions. | al=Muara Kaman,Kutai Martadipura
southeast-asia.city-lamphun | Lamphun | Southeast Asia | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Mon kingdom capital of Hariphunchai, absorbed by Lan Na in 1281. | al=Haripunchai,Hariphunchai
southeast-asia.city-lopburi | Lopburi | Southeast Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Dvaravati then Khmer regional capital and later a Siamese second capital. | al=Lavo,Lavapura
southeast-asia.city-luang-prabang | Luang Prabang | Southeast Asia | s=698 e=None ext=True b=[657, 739] | typological | h=None ds=None | Capital of the Lan Xang kingdom and Lao Buddhist royal city on the upper Mekong. | al=Muang Sua,Xieng Thong
